owner_code	date	held_shares	change
chase-investment-counsel-corp-62685	2017-12-31	46046	-1450
baltimore-washington-financial-advisors-inc-924506	2017-12-31	46025	4761
oak-grove-capital-llc-1045323	2017-12-31	44762	44762
janney-montgomery-scott-llc-677688	2017-12-31	44536	429
sentry-investments-corp-774483	2017-12-31	44519	36515
catamount-wealth-management-997386	2017-12-31	44330	-5
hansberger-growth-investors-lp-956768	2017-12-31	44232	-683
united-capital-financial-advisers-llc-804599	2017-12-31	44211	-4622
meiji-yasuda-asset-management-co-ltd-828621	2017-12-31	43430	20
rosenblum-silverman-sutton-s-f-inc-ca-62548	2017-12-31	43182	1043
biondo-investment-advisors-llc-798664	2017-12-31	43174	185
segantii-capital-management-ltd-927261	2017-12-31	42500	27500
boston-private-wealth-llc-957196	2017-12-31	42376	7151
jupiter-asset-management-ltd-393621	2017-12-31	41685	1985
turim-21-investimentos-ltda-1037089	2017-12-31	41302	4784
american-national-insurance-co-tx-379491	2017-12-31	41060	0
beck-capital-management-llc-929301	2017-12-31	40595	1583
sheets-smith-wealth-management-91573	2018-03-31	40388	11808
gsa-capital-partners-llp-708598	2017-12-31	39798	32303
connor-clark--lunn-investment-management-ltd-934788	2017-12-31	39700	28600
ingalls--snyder-llc-47362	2017-12-31	39484	-1766
university-of-notre-dame-du-lac-676251	2017-12-31	39324	8554
diversified-trust-co-821138	2017-12-31	39148	-2470
fulcrum-capital-llc-1043948	2017-12-31	39040	39040
polen-capital-management-llc-61688	2017-12-31	38991	11108
altimeter-capital-management-lp-874341	2017-12-31	38650	6700
wesbanco-bank-inc-62572	2017-12-31	38360	-24828
ns-partners-ltd-979590	2017-12-31	38307	-34339
norinchukin-bank-the-833945	2017-12-31	38241	-1665
bbt-securities-llc-777447	2017-12-31	38113	5820
ifp-advisors-inc-986677	2017-12-31	37968	6288
first-allied-advisory-services-inc-847635	2017-12-31	37684	3461
oberweis-asset-management-inc-65623	2017-12-31	37195	-190
monetta-financial-services-inc-62664	2017-12-31	37000	0
verde-servicos-internacionais-sa-983719	2017-12-31	36738	36738
mml-investors-services-llc-104628	2017-12-31	36495	5469
shikiar-asset-management-inc-62822	2017-12-31	36065	1085
archon-partners-llc-797790	2017-12-31	35100	35100
firsthand-capital-management-inc-815355	2017-12-31	35000	-5000
glg-llc-699295	2017-12-31	35000	15000
beacon-investment-advisory-services-inc-979963	2017-12-31	34695	-9661
